WARNING (theano.tensor.blas): Using NumPy C-API based implementation for BLAS functions.
pybullet build time: Oct 11 2021 20:59:39
num of nodes = 2000 and num of edges = 3296
num of nodes = 2000 and num of edges = 3296
num of nodes = 2000 and num of edges = 3296
num of nodes = 2000 and num of edges = 3296
train epoch=0, loader_type='Both', approx_losses.avg=0.0003189904428251635, constraint_losses.avg=0.00015900690225045388
------------------------- test Main, avg_test_AL=0.00015796447036090422, avg_test_CL=9.015623124517047e-05, max_test_CL=0.005536620505154133
------------------------- test un normalized Main, avg_test_AL_un_norm=11.510949449941034, avg_test_CL_un_norm=6.569729375368033, max_test_CL_un_norm=403.4562975529992
------------------------- test Omega, avg_test_AL=0, avg_test_CL=5.825992071102792e-06, max_test_CL=5.3362098697107285e-05
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=0.42454293710290303, max_test_CL_un_norm=3.888522701654877
train epoch=1, loader_type='Both', approx_losses.avg=0.000229322865019351, constraint_losses.avg=0.00012282393874862927
------------------------- test Main, avg_test_AL=0.00015762022586373714, avg_test_CL=8.974045618970105e-05, max_test_CL=0.005458362400531769
------------------------- test un normalized Main, avg_test_AL_un_norm=11.485864159701364, avg_test_CL_un_norm=6.539431629649939, max_test_CL_un_norm=397.7535928220486
------------------------- test Omega, avg_test_AL=0, avg_test_CL=5.813154960843114e-06, max_test_CL=5.3291587391868234e-05
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=0.42360749030713113, max_test_CL_un_norm=3.883384398035076
train epoch=2, loader_type='Both', approx_losses.avg=0.00022421622942137118, constraint_losses.avg=0.00012122011502016528
------------------------- test Main, avg_test_AL=0.0001574505453682695, avg_test_CL=8.96681507631496e-05, max_test_CL=0.0054505798034369946
------------------------- test un normalized Main, avg_test_AL_un_norm=11.473499454912147, avg_test_CL_un_norm=6.53416269088808, max_test_CL_un_norm=397.1864526736658
------------------------- test Omega, avg_test_AL=0, avg_test_CL=5.812750278451073e-06, max_test_CL=5.3293326345738024e-05
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=0.4235780016619706, max_test_CL_un_norm=3.8835112288251294
train epoch=3, loader_type='Both', approx_losses.avg=0.0002135227658150215, constraint_losses.avg=0.00011691695635644941
------------------------- test Main, avg_test_AL=0.0001573323968749203, avg_test_CL=8.96119548007328e-05, max_test_CL=0.00544384028762579
------------------------- test un normalized Main, avg_test_AL_un_norm=11.464889972181647, avg_test_CL_un_norm=6.530067686635254, max_test_CL_un_norm=396.69534396179165
------------------------- test Omega, avg_test_AL=0, avg_test_CL=5.822837026732586e-06, max_test_CL=5.3355568525148556e-05
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=0.42431302671951054, max_test_CL_un_norm=3.8880467900891826
train epoch=4, loader_type='Both', approx_losses.avg=0.00021221310232298464, constraint_losses.avg=0.00011569247640935438
------------------------- test Main, avg_test_AL=0.00015700925476401162, avg_test_CL=8.950526207710441e-05, max_test_CL=0.0054294513538479805
