WARNING (theano.tensor.blas): Using NumPy C-API based implementation for BLAS functions.
pybullet build time: Oct 11 2021 20:59:39
train epoch=0, loader_type='Both', approx_losses.avg=0.013955671463368667, constraint_losses.avg=0.009419051650438517
------------------------- test Main, avg_test_AL=0.0008322780490157555, avg_test_CL=0.0008062776430604388, max_test_CL=0.005585032980889082
------------------------- test un normalized Main, avg_test_AL_un_norm=60.64851510662319, avg_test_CL_un_norm=58.75385242836595, max_test_CL_un_norm=406.98413141631346
------------------------- test Omega, avg_test_AL=0, avg_test_CL=0.0003407248640891116, max_test_CL=0.0018822167767211795
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=24.828790147113878, max_test_CL_un_norm=137.1580710861717
train epoch=1, loader_type='Both', approx_losses.avg=0.003051191847133894, constraint_losses.avg=0.002139469273611977
------------------------- test Main, avg_test_AL=0.00017307329674845918, avg_test_CL=0.00010101805448255741, max_test_CL=0.0012593057472258806
------------------------- test un normalized Main, avg_test_AL_un_norm=12.611937126889156, avg_test_CL_un_norm=7.361235823392665, max_test_CL_un_norm=91.76623545916291
------------------------- test Omega, avg_test_AL=0, avg_test_CL=7.976459094455101e-05, max_test_CL=0.0005806795670650899
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=5.812485372021749, max_test_CL_un_norm=42.31440805843897
train epoch=2, loader_type='Both', approx_losses.avg=0.0018066206818109513, constraint_losses.avg=0.001251535900351074
------------------------- test Main, avg_test_AL=0.00014481335514974082, avg_test_CL=0.0002498972544120468, max_test_CL=0.001657602726481855
------------------------- test un normalized Main, avg_test_AL_un_norm=10.552621157470034, avg_test_CL_un_norm=18.210137093829353, max_test_CL_un_norm=120.79033619076989
------------------------- test Omega, avg_test_AL=0, avg_test_CL=0.00023974030715379202, max_test_CL=0.0007251609349623322
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=17.46999531170533, max_test_CL_un_norm=52.84283731822296
train epoch=3, loader_type='Both', approx_losses.avg=0.0017869064119161247, constraint_losses.avg=0.001255254725005389
------------------------- test Main, avg_test_AL=0.00041377907900364176, avg_test_CL=0.0006476458205808697, max_test_CL=0.002242055255919695
------------------------- test un normalized Main, avg_test_AL_un_norm=30.152287111386624, avg_test_CL_un_norm=47.194272766234775, max_test_CL_un_norm=163.37968857116
------------------------- test Omega, avg_test_AL=0, avg_test_CL=0.0005894039221491259, max_test_CL=0.001430290169082582
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=42.95015671500971, max_test_CL_un_norm=104.22595341162088
train epoch=4, loader_type='Both', approx_losses.avg=0.0015894523255103397, constraint_losses.avg=0.0011332151844177306
------------------------- test Main, avg_test_AL=0.0009471894541314114, avg_test_CL=0.0013190320583471617, max_test_CL=0.002761523239314556
------------------------- test un normalized Main, avg_test_AL_un_norm=69.02216618371098, avg_test_CL_un_norm=96.11852165845417, max_test_CL_un_norm=201.23356548811128
------------------------- test Omega, avg_test_AL=0, avg_test_CL=0.0009199801060385652, max_test_CL=0.0015546937938779593
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=67.0394074780729, max_test_CL_un_norm=113.2913061960807
train epoch=5, loader_type='Both', approx_losses.avg=0.0015809478397970365, constraint_losses.avg=0.0011170551833966451
------------------------- test Main, avg_test_AL=0.000345619268390319, avg_test_CL=0.0005328300319300894, max_test_CL=0.00218867976218462
------------------------- test un normalized Main, avg_test_AL_un_norm=25.18544784730955, avg_test_CL_un_norm=38.827589240972785, max_test_CL_un_norm=159.49018346179753
------------------------- test Omega, avg_test_AL=0, avg_test_CL=0.0004916982184857868, max_test_CL=0.0014908756129443645
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=35.8302935257847, max_test_CL_un_norm=108.64085032629045
train epoch=6, loader_type='Both', approx_losses.avg=0.0013446993630453121, constraint_losses.avg=0.0009741224470430069
------------------------- test Main, avg_test_AL=0.001062529344693843, avg_test_CL=0.0014709974024667077, max_test_CL=0.0035890794824808836
------------------------- test un normalized Main, avg_test_AL_un_norm=77.42704124973639, avg_test_CL_un_norm=107.19231163977678, max_test_CL_un_norm=261.5380046715029
------------------------- test Omega, avg_test_AL=0, avg_test_CL=0.0012705309854645747, max_test_CL=0.0020839718636125326
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=92.58422427098091, max_test_CL_un_norm=151.86007265966697
train epoch=7, loader_type='Both', approx_losses.avg=0.000893472440725519, constraint_losses.avg=0.0006823034115534808
------------------------- test Main, avg_test_AL=0.0007916940720815156, avg_test_CL=0.0011276439122405151, max_test_CL=0.0036693387664854527
------------------------- test un normalized Main, avg_test_AL_un_norm=57.691140433505666, avg_test_CL_un_norm=82.17197225161368, max_test_CL_un_norm=267.386546304615
------------------------- test Omega, avg_test_AL=0, avg_test_CL=0.0009724920341504913, max_test_CL=0.0017077854136005044
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=70.8659778257116, max_test_CL_un_norm=124.44717244236047
train epoch=8, loader_type='Both', approx_losses.avg=0.0011405513453160345, constraint_losses.avg=0.0008556465183750593
------------------------- test Main, avg_test_AL=0.0011942596730656078, avg_test_CL=0.001602066529921045, max_test_CL=0.0044522276148200035
------------------------- test un normalized Main, avg_test_AL_un_norm=87.0262958397659, avg_test_CL_un_norm=116.74338407593555, max_test_CL_un_norm=324.4360457905438
------------------------- test Omega, avg_test_AL=0, avg_test_CL=0.0008917369948903797, max_test_CL=0.0016964981332421303
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=64.98131792559253, max_test_CL_un_norm=123.62466130178954
train epoch=9, loader_type='Both', approx_losses.avg=0.001160182355798454, constraint_losses.avg=0.000853498584943794
------------------------- test Main, avg_test_AL=0.0005567906898399553, avg_test_CL=0.0008550718305914415, max_test_CL=0.003653937950730324
------------------------- test un normalized Main, avg_test_AL_un_norm=40.57361424733599, avg_test_CL_un_norm=62.3095091611281, max_test_CL_un_norm=266.26427670575424
------------------------- test Omega, avg_test_AL=0, avg_test_CL=0.0007458872736833654, max_test_CL=0.0012135880533605814
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=54.3531762521993, max_test_CL_un_norm=88.43476229551372
train epoch=10, loader_type='Both', approx_losses.avg=0.0012081037045396184, constraint_losses.avg=0.0008926118599465265
------------------------- test Main, avg_test_AL=0.0016904010172422196, avg_test_CL=0.0022017255324355816, max_test_CL=0.0054047792218625546
------------------------- test un normalized Main, avg_test_AL_un_norm=123.18036222317349, avg_test_CL_un_norm=160.4408335498293, max_test_CL_un_norm=393.8489450008238
------------------------- test Omega, avg_test_AL=0, avg_test_CL=0.0018376401313435053, max_test_CL=0.0028647438157349825
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=133.9097496240521, max_test_CL_un_norm=208.75530901857852
train epoch=11, loader_type='Both', approx_losses.avg=0.0005362823262516146, constraint_losses.avg=0.0004486019930780111
------------------------- test Main, avg_test_AL=0.0003687746245325827, avg_test_CL=0.0005725738032977539, max_test_CL=0.002378577832132578
------------------------- test un normalized Main, avg_test_AL_un_norm=26.872790161378497, avg_test_CL_un_norm=41.72373751859665, max_test_CL_un_norm=173.32815164430636
------------------------- test Omega, avg_test_AL=0, avg_test_CL=0.0004889809664646396, max_test_CL=0.0009064004407264292
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=35.63228598578845, max_test_CL_un_norm=66.04984992015771
train epoch=12, loader_type='Both', approx_losses.avg=0.0013045163117306705, constraint_losses.avg=0.0009502289126043223
------------------------- test Main, avg_test_AL=0.0017929574054515172, avg_test_CL=0.0023186571567222034, max_test_CL=0.005674018990248442
------------------------- test un normalized Main, avg_test_AL_un_norm=130.6536970602429, avg_test_CL_un_norm=168.96169898304814, max_test_CL_un_norm=413.4685909948148
------------------------- test Omega, avg_test_AL=0, avg_test_CL=0.0017773150092107244, max_test_CL=0.002977711381390691
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=129.513827910621, max_test_CL_un_norm=216.9873065740665
train epoch=13, loader_type='Both', approx_losses.avg=0.0003681542313660473, constraint_losses.avg=0.00034054962668516155
------------------------- test Main, avg_test_AL=0.00011825144830986467, avg_test_CL=0.00023495902278610625, max_test_CL=0.0017233213875442743
------------------------- test un normalized Main, avg_test_AL_un_norm=8.617041796850758, avg_test_CL_un_norm=17.121580752926196, max_test_CL_un_norm=125.57928752529729
------------------------- test Omega, avg_test_AL=0, avg_test_CL=0.00022077113321422858, max_test_CL=0.0004113365721423179
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=16.08770218537366, max_test_CL_un_norm=29.97430007494474
train epoch=14, loader_type='Both', approx_losses.avg=0.0012106633391991233, constraint_losses.avg=0.0009260742109257817
------------------------- test Main, avg_test_AL=0.0002798756847052033, avg_test_CL=0.0004965766102596376, max_test_CL=0.0052038924768567085
------------------------- test un normalized Main, avg_test_AL_un_norm=20.394680191797143, avg_test_CL_un_norm=36.18578433010993, max_test_CL_un_norm=379.2102467335983
------------------------- test Omega, avg_test_AL=0, avg_test_CL=0.00026291585021158425, max_test_CL=0.00042002537520602345
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=19.158808672598376, max_test_CL_un_norm=30.607457959845416
train epoch=15, loader_type='Both', approx_losses.avg=0.0009372083749751457, constraint_losses.avg=0.0007201063712774259
------------------------- test Main, avg_test_AL=0.0002319387630172458, avg_test_CL=0.000413617380279657, max_test_CL=0.004524176008999348
------------------------- test un normalized Main, avg_test_AL_un_norm=16.901492919465543, avg_test_CL_un_norm=30.140504021224583, max_test_CL_un_norm=329.6789402603199
------------------------- test Omega, avg_test_AL=0, avg_test_CL=0.00022461265243619444, max_test_CL=0.0003928420483134687
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=16.367635594043783, max_test_CL_un_norm=28.626594472473396
train epoch=16, loader_type='Both', approx_losses.avg=0.0005549132667564129, constraint_losses.avg=0.0004468290743058629
------------------------- test Main, avg_test_AL=0.0014217245890878302, avg_test_CL=0.0018954546653840226, max_test_CL=0.0050504812970757484
------------------------- test un normalized Main, avg_test_AL_un_norm=103.6017774156373, avg_test_CL_un_norm=138.1227234020958, max_test_CL_un_norm=368.03106982718356
------------------------- test Omega, avg_test_AL=0, avg_test_CL=0.0016159888968541054, max_test_CL=0.0025302909780293703
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=117.75791385451416, max_test_CL_un_norm=184.3835689852369
train epoch=17, loader_type='Both', approx_losses.avg=0.0012759535269334654, constraint_losses.avg=0.0009595319487076874
------------------------- test Main, avg_test_AL=0.0004759993794492843, avg_test_CL=0.0007551858780734619, max_test_CL=0.001890213112346828
------------------------- test un normalized Main, avg_test_AL_un_norm=34.686311262902045, avg_test_CL_un_norm=55.03077025841408, max_test_CL_un_norm=137.74077118476848
------------------------- test Omega, avg_test_AL=0, avg_test_CL=0.0008101092009455896, max_test_CL=0.0011213327525183558
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=59.03306003779009, max_test_CL_un_norm=81.71207355567086
train epoch=18, loader_type='Both', approx_losses.avg=0.00036612010858874466, constraint_losses.avg=0.0003354460676052859
------------------------- test Main, avg_test_AL=5.101098654072711e-05, avg_test_CL=7.689316602452179e-05, max_test_CL=0.0005293702706694603
------------------------- test un normalized Main, avg_test_AL_un_norm=3.7171959318975714, avg_test_CL_un_norm=5.6032432201303894, max_test_CL_un_norm=38.57547662362926
------------------------- test Omega, avg_test_AL=0, avg_test_CL=8.640955144584562e-05, max_test_CL=0.00019733989029191434
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=6.29670695214077, max_test_CL_un_norm=14.380255811428457
train epoch=19, loader_type='Both', approx_losses.avg=0.0005135493095059203, constraint_losses.avg=0.0004190305810327464
------------------------- test Main, avg_test_AL=0.00034420192904625327, avg_test_CL=0.0005672295139419248, max_test_CL=0.0019518808694556355
------------------------- test un normalized Main, avg_test_AL_un_norm=25.082165628280503, avg_test_CL_un_norm=41.33429650652546, max_test_CL_un_norm=142.23452466405504
------------------------- test Omega, avg_test_AL=0, avg_test_CL=0.0005872607928286015, max_test_CL=0.0010134077165275812
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=42.793985775214544, max_test_CL_un_norm=73.84752651695712
train epoch=20, loader_type='Both', approx_losses.avg=0.0014359044462859552, constraint_losses.avg=0.0010464862841102923
------------------------- test Main, avg_test_AL=7.783130748692325e-05, avg_test_CL=1.8190693374802612e-05, max_test_CL=0.00034105463419109583
------------------------- test un normalized Main, avg_test_AL_un_norm=5.67160605286645, avg_test_CL_un_norm=1.3255648637266129, max_test_CL_un_norm=24.852821105463725
------------------------- test Omega, avg_test_AL=0, avg_test_CL=2.7174709406641907e-05, max_test_CL=7.19288073014468e-05
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=1.9802345751908197, max_test_CL_un_norm=5.241487972633614
train epoch=21, loader_type='Both', approx_losses.avg=0.0004553206538964462, constraint_losses.avg=0.00035191848341769184
------------------------- test Main, avg_test_AL=0.0003422752123518151, avg_test_CL=0.0005601207073013797, max_test_CL=0.0014396219048649073
------------------------- test un normalized Main, avg_test_AL_un_norm=24.941764801520108, avg_test_CL_un_norm=40.816274288871234, max_test_CL_un_norm=104.90596445106975
------------------------- test Omega, avg_test_AL=0, avg_test_CL=0.0004622632394439279, max_test_CL=0.0007587815052829683
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=33.68535195619646, max_test_CL_un_norm=55.292783919365895
train epoch=22, loader_type='Both', approx_losses.avg=0.0005685702542480338, constraint_losses.avg=0.00044821949287708975
------------------------- test Main, avg_test_AL=0.0002613644404104809, avg_test_CL=0.00045308464927234837, max_test_CL=0.0013282352592796087
------------------------- test un normalized Main, avg_test_AL_un_norm=19.04575663583224, avg_test_CL_un_norm=33.01650350937518, max_test_CL_un_norm=96.78916320348459
------------------------- test Omega, avg_test_AL=0, avg_test_CL=0.00031997250303743383, max_test_CL=0.000554931175429374
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=23.316555301174088, max_test_CL_un_norm=40.438111530278384
train epoch=23, loader_type='Both', approx_losses.avg=0.0007458968050215469, constraint_losses.avg=0.0005744421555658817
------------------------- test Main, avg_test_AL=0.00038234296336162374, avg_test_CL=0.0006305566898561193, max_test_CL=0.0016193047631531954
------------------------- test un normalized Main, avg_test_AL_un_norm=27.86152169369944, avg_test_CL_un_norm=45.948979257572034, max_test_CL_un_norm=117.99954149560244
------------------------- test Omega, avg_test_AL=0, avg_test_CL=0.0004108474914100952, max_test_CL=0.0007072542211972177
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=29.938660866135518, max_test_CL_un_norm=51.537965529335274
train epoch=24, loader_type='Both', approx_losses.avg=0.0006702185257024775, constraint_losses.avg=0.0005211702752368717
------------------------- test Main, avg_test_AL=0.00040234863262863965, avg_test_CL=0.0006605899083453868, max_test_CL=0.0016443115891888738
------------------------- test un normalized Main, avg_test_AL_un_norm=29.319344780212848, avg_test_CL_un_norm=48.137514891378466, max_test_CL_un_norm=119.8218064412741
------------------------- test Omega, avg_test_AL=0, avg_test_CL=0.0004934570658078883, max_test_CL=0.0008098780526779592
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=35.95846160772076, max_test_CL_un_norm=59.0162177715077
train epoch=25, loader_type='Both', approx_losses.avg=0.0006300874201179896, constraint_losses.avg=0.0005015791147644262
------------------------- test Main, avg_test_AL=0.00039785251841418124, avg_test_CL=0.0006570723763582818, max_test_CL=0.001603389042429626
------------------------- test un normalized Main, avg_test_AL_un_norm=28.9917106819701, avg_test_CL_un_norm=47.88119057886382, max_test_CL_un_norm=116.83975706180844
------------------------- test Omega, avg_test_AL=0, avg_test_CL=0.0004963153425051132, max_test_CL=0.0008143283193930984
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=36.166745607054835, max_test_CL_un_norm=59.34051133786673
train epoch=26, loader_type='Both', approx_losses.avg=0.0006273741068604674, constraint_losses.avg=0.000503152491906861
------------------------- test Main, avg_test_AL=0.00040782951528128163, avg_test_CL=0.0006730884159145649, max_test_CL=0.0016031122067943215
------------------------- test un normalized Main, avg_test_AL_un_norm=29.71873942283468, avg_test_CL_un_norm=49.048287371856816, max_test_CL_un_norm=116.8195831306922
------------------------- test Omega, avg_test_AL=0, avg_test_CL=0.0005422668494902609, max_test_CL=0.0008792764274403453
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=39.51525475194555, max_test_CL_un_norm=64.07330973409952
train epoch=27, loader_type='Both', approx_losses.avg=0.0005939174553463494, constraint_losses.avg=0.00048601293452601465
------------------------- test Main, avg_test_AL=0.0004022020806797948, avg_test_CL=0.000668130283465692, max_test_CL=0.0015414388617500663
------------------------- test un normalized Main, avg_test_AL_un_norm=29.308665469695857, avg_test_CL_un_norm=48.686985722167044, max_test_CL_un_norm=112.32541596726277
------------------------- test Omega, avg_test_AL=0, avg_test_CL=0.0005619519106912776, max_test_CL=0.0009075043490156531
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=40.94971497729251, max_test_CL_un_norm=66.1302949429737
train epoch=28, loader_type='Both', approx_losses.avg=0.0006401167412451099, constraint_losses.avg=0.0005204327554619384
------------------------- test Main, avg_test_AL=0.0004553253763814369, avg_test_CL=0.0007415188802437158, max_test_CL=0.0016091796569526196
------------------------- test un normalized Main, avg_test_AL_un_norm=33.17978639401644, avg_test_CL_un_norm=54.03484924204623, max_test_CL_un_norm=117.26172114763867
------------------------- test Omega, avg_test_AL=0, avg_test_CL=0.0006454366687103175, max_test_CL=0.0010297170374542475
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=47.0332907769674, max_test_CL_un_norm=75.03598856167899
train epoch=29, loader_type='Both', approx_losses.avg=0.0005610257829310805, constraint_losses.avg=0.00047107341173770173
------------------------- test Main, avg_test_AL=0.00041553899287659666, avg_test_CL=0.0006898979219873138, max_test_CL=0.0015082211466506124
------------------------- test un normalized Main, avg_test_AL_un_norm=30.28053288846063, avg_test_CL_un_norm=50.2732043819506, max_test_CL_un_norm=109.90482756036216
------------------------- test Omega, avg_test_AL=0, avg_test_CL=0.0006324291759810876, max_test_CL=0.0010183737613260746
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=46.085428304772336, max_test_CL_un_norm=74.20940319944569
train epoch=30, loader_type='Both', approx_losses.avg=0.0006095027256034506, constraint_losses.avg=0.0005059298994573987
------------------------- test Main, avg_test_AL=0.0004783299063516253, avg_test_CL=0.0007756196096227228, max_test_CL=0.0016349615762010217
------------------------- test un normalized Main, avg_test_AL_un_norm=34.85613793717714, avg_test_CL_un_norm=56.51978639420078, max_test_CL_un_norm=119.14046498300198
------------------------- test Omega, avg_test_AL=0, avg_test_CL=0.0006831771771103377, max_test_CL=0.001122971996665001
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=49.78346036371281, max_test_CL_un_norm=81.83152760551141
train epoch=31, loader_type='Both', approx_losses.avg=0.0006352523307464758, constraint_losses.avg=0.000523179112854118
------------------------- test Main, avg_test_AL=0.0005602157503025938, avg_test_CL=0.0008836283810345548, max_test_CL=0.0017347420798614621
