WARNING (theano.tensor.blas): Using NumPy C-API based implementation for BLAS functions.
pybullet build time: Oct 11 2021 20:59:39
num of nodes = 500 and num of edges = 828
num of nodes = 500 and num of edges = 828
num of nodes = 500 and num of edges = 828
num of nodes = 500 and num of edges = 828
train epoch=0, loader_type='Both', approx_losses.avg=0.0471419504377991, constraint_losses.avg=0.02357284383631001
------------------------- test Main, avg_test_AL=0.060663535379054036, avg_test_CL=0.06066570978071104, max_test_CL=0.36975905299186707
------------------------- test un normalized Main, avg_test_AL_un_norm=4241.58460304757, avg_test_CL_un_norm=4241.886737373056, max_test_CL_un_norm=32327.530927179458
------------------------- test Omega, avg_test_AL=0, avg_test_CL=1.7058464441130164e-06, max_test_CL=6.441476216423325e-06
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=0.17248371567572118, max_test_CL_un_norm=0.5987829187845328
train epoch=1, loader_type='Both', approx_losses.avg=0.042326511453030013, constraint_losses.avg=0.021164870188742257
------------------------- test Main, avg_test_AL=0.07486811503851398, avg_test_CL=0.07486991034599487, max_test_CL=0.56173175573349
------------------------- test un normalized Main, avg_test_AL_un_norm=4279.82227621955, avg_test_CL_un_norm=4280.068926941352, max_test_CL_un_norm=32296.90208165345
------------------------- test Omega, avg_test_AL=0, avg_test_CL=1.9497314507740764e-06, max_test_CL=8.779412382864393e-06
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=0.18362039878515837, max_test_CL_un_norm=0.5628500816491918
train epoch=2, loader_type='Both', approx_losses.avg=0.04540595227877299, constraint_losses.avg=0.02270453710326304
------------------------- test Main, avg_test_AL=0.053498540970294925, avg_test_CL=0.053500451609150936, max_test_CL=0.3430219888687134
------------------------- test un normalized Main, avg_test_AL_un_norm=4259.529983286094, avg_test_CL_un_norm=4259.798405190248, max_test_CL_un_norm=32529.932484484438
------------------------- test Omega, avg_test_AL=0, avg_test_CL=1.966640445472715e-06, max_test_CL=7.374055712716654e-06
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=0.19800373249228373, max_test_CL_un_norm=0.6003714770415143
train epoch=3, loader_type='Both', approx_losses.avg=0.02376518523854514, constraint_losses.avg=0.011884000831081843
------------------------- test Main, avg_test_AL=0.04089202915534649, avg_test_CL=0.04089379521137016, max_test_CL=0.2880370616912842
------------------------- test un normalized Main, avg_test_AL_un_norm=4438.603064644593, avg_test_CL_un_norm=4438.8493287053925, max_test_CL_un_norm=33391.636236012884
------------------------- test Omega, avg_test_AL=0, avg_test_CL=1.8474366330135291e-06, max_test_CL=6.581616617040709e-06
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=0.19442070376620146, max_test_CL_un_norm=0.672886642400147
train epoch=4, loader_type='Both', approx_losses.avg=0.013540141331311316, constraint_losses.avg=0.0067714887189290794
------------------------- test Main, avg_test_AL=0.04342949741406483, avg_test_CL=0.043431262232382625, max_test_CL=0.3264121115207672
------------------------- test un normalized Main, avg_test_AL_un_norm=4317.901285517283, avg_test_CL_un_norm=4318.147089842706, max_test_CL_un_norm=33131.47714510965
------------------------- test Omega, avg_test_AL=0, avg_test_CL=1.8131795648201886e-06, max_test_CL=6.281980859057512e-06
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=0.19378762811786387, max_test_CL_un_norm=0.646394105284918
train epoch=5, loader_type='Both', approx_losses.avg=0.01408436064881583, constraint_losses.avg=0.007043573117721826
------------------------- test Main, avg_test_AL=0.039054564445007905, avg_test_CL=0.03905613876326242, max_test_CL=0.2917333245277405
------------------------- test un normalized Main, avg_test_AL_un_norm=4356.829715639305, avg_test_CL_un_norm=4357.047107420686, max_test_CL_un_norm=33464.12988730392
------------------------- test Omega, avg_test_AL=0, avg_test_CL=1.7658389249303556e-06, max_test_CL=1.159530620498117e-05
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=0.19036185443025413, max_test_CL_un_norm=1.5557762827627546
train epoch=6, loader_type='Both', approx_losses.avg=0.014167623339717586, constraint_losses.avg=0.007085226407336692
------------------------- test Main, avg_test_AL=0.03965849075343173, avg_test_CL=0.03966001600158325, max_test_CL=0.2901676893234253
------------------------- test un normalized Main, avg_test_AL_un_norm=4337.361571388621, avg_test_CL_un_norm=4337.571756673723, max_test_CL_un_norm=33223.91402826699
------------------------- test Omega, avg_test_AL=0, avg_test_CL=1.7520976871558957e-06, max_test_CL=1.1950112821068615e-05
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=0.1905944428934663, max_test_CL_un_norm=1.5810460337920023
train epoch=7, loader_type='Both', approx_losses.avg=0.012652375167484084, constraint_losses.avg=0.006327541583714386
------------------------- test Main, avg_test_AL=0.03962999465027436, avg_test_CL=0.03963156915555616, max_test_CL=0.28917253017425537
------------------------- test un normalized Main, avg_test_AL_un_norm=4373.727607325832, avg_test_CL_un_norm=4373.946011528583, max_test_CL_un_norm=33513.11414248982
------------------------- test Omega, avg_test_AL=0, avg_test_CL=1.7490142796615278e-06, max_test_CL=1.1785265087382868e-05
