WARNING (theano.tensor.blas): Using NumPy C-API based implementation for BLAS functions.
pybullet build time: Oct 11 2021 20:59:39
train epoch=0, loader_type='Both', approx_losses.avg=0.11634689869399494, constraint_losses.avg=0.08625470948591828
------------------------- test Main, avg_test_AL=0.013653824531279194, avg_test_CL=0.013654406026452003, max_test_CL=0.09884567558765411
------------------------- test un normalized Main, avg_test_AL_un_norm=968.3432737472804, avg_test_CL_un_norm=968.4036678128949, max_test_CL_un_norm=12449.678944770658
------------------------- test Omega, avg_test_AL=0, avg_test_CL=0.0048944839003185435, max_test_CL=0.006013808306306601
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=205.56594623540042, max_test_CL_un_norm=653.4576753692097
train epoch=1, loader_type='Both', approx_losses.avg=0.02258582512115439, constraint_losses.avg=0.016128367626915375
------------------------- test Main, avg_test_AL=0.043798740439902756, avg_test_CL=0.04379964377474001, max_test_CL=0.2925444543361664
------------------------- test un normalized Main, avg_test_AL_un_norm=1110.4975632672124, avg_test_CL_un_norm=1110.626002137237, max_test_CL_un_norm=6177.215949511444
------------------------- test Omega, avg_test_AL=0, avg_test_CL=0.0015973865054838825, max_test_CL=0.008391373790800571
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=72.5022702161014, max_test_CL_un_norm=302.92374870771164
train epoch=2, loader_type='Both', approx_losses.avg=0.02314202794569234, constraint_losses.avg=0.014539681385457515
------------------------- test Main, avg_test_AL=0.017083347869338468, avg_test_CL=0.017084119978981713, max_test_CL=0.08055342733860016
------------------------- test un normalized Main, avg_test_AL_un_norm=651.5767122237221, avg_test_CL_un_norm=651.6803645349462, max_test_CL_un_norm=7485.700415189477
------------------------- test Omega, avg_test_AL=0, avg_test_CL=0.001694074882902593, max_test_CL=0.0070807961747050285
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=19.27262335663385, max_test_CL_un_norm=30.345411062832742
train epoch=3, loader_type='Both', approx_losses.avg=0.021664131992993257, constraint_losses.avg=0.013204243710140387
------------------------- test Main, avg_test_AL=0.021541701183584033, avg_test_CL=0.021543214996694586, max_test_CL=0.12237273156642914
------------------------- test un normalized Main, avg_test_AL_un_norm=1676.8224691145156, avg_test_CL_un_norm=1677.0021375057552, max_test_CL_un_norm=15372.275429924175
------------------------- test Omega, avg_test_AL=0, avg_test_CL=0.0029171095996474226, max_test_CL=0.010114534758031368
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=206.90919881434158, max_test_CL_un_norm=1010.2723106380369
train epoch=4, loader_type='Both', approx_losses.avg=0.015606499095819891, constraint_losses.avg=0.009680979739812513
------------------------- test Main, avg_test_AL=0.008600485168072434, avg_test_CL=0.008601461186441157, max_test_CL=0.055339403450489044
------------------------- test un normalized Main, avg_test_AL_un_norm=849.6022764115024, avg_test_CL_un_norm=849.7164425191102, max_test_CL_un_norm=6902.482284447142
------------------------- test Omega, avg_test_AL=0, avg_test_CL=0.0010714140160901782, max_test_CL=0.003689939621835947
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=97.29672661655873, max_test_CL_un_norm=322.1073070846462
train epoch=5, loader_type='Both', approx_losses.avg=0.010324748039680223, constraint_losses.avg=0.006194744130720695
------------------------- test Main, avg_test_AL=0.009707227697518344, avg_test_CL=0.009707517644225542, max_test_CL=0.053536392748355865
------------------------- test un normalized Main, avg_test_AL_un_norm=298.9264974645101, avg_test_CL_un_norm=298.95781465910306, max_test_CL_un_norm=2960.367385379269
------------------------- test Omega, avg_test_AL=0, avg_test_CL=0.0010768781256241104, max_test_CL=0.003663218580186367
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=33.36974268009053, max_test_CL_un_norm=115.09058066968876
train epoch=6, loader_type='Both', approx_losses.avg=0.008624228783293317, constraint_losses.avg=0.004940910816565156
------------------------- test Main, avg_test_AL=0.005543640848947689, avg_test_CL=0.005543691808551861, max_test_CL=0.05952706187963486
------------------------- test un normalized Main, avg_test_AL_un_norm=207.96262687719144, avg_test_CL_un_norm=207.96413049793102, max_test_CL_un_norm=2362.1309641618227
------------------------- test Omega, avg_test_AL=0, avg_test_CL=0.0006470444173028227, max_test_CL=0.0015174741856753826
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=24.346689335891536, max_test_CL_un_norm=124.88084696579145
train epoch=7, loader_type='Both', approx_losses.avg=0.007500534475035965, constraint_losses.avg=0.004710431666113436
------------------------- test Main, avg_test_AL=0.013309643843851518, avg_test_CL=0.013310125037049148, max_test_CL=0.04675997048616409
------------------------- test un normalized Main, avg_test_AL_un_norm=281.1085794047169, avg_test_CL_un_norm=281.1700931350018, max_test_CL_un_norm=2386.8628396249223
------------------------- test Omega, avg_test_AL=0, avg_test_CL=0.0010934629094457098, max_test_CL=0.003933854401111603
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=36.27311453673934, max_test_CL_un_norm=92.42629667326634
