WARNING (theano.tensor.blas): Using NumPy C-API based implementation for BLAS functions.
pybullet build time: Oct 11 2021 20:59:39
train epoch=0, loader_type='Both', approx_losses.avg=0.15196910114356627, constraint_losses.avg=0.19049941411217053
------------------------- test Main, avg_test_AL=0.02138939067053919, avg_test_CL=0.021389293771159525, max_test_CL=0.19149938225746155
------------------------- test un normalized Main, avg_test_AL_un_norm=2736.474729046148, avg_test_CL_un_norm=2736.4743717118213, max_test_CL_un_norm=19890.47680176368
------------------------- test Omega, avg_test_AL=0, avg_test_CL=0.018818070973580084, max_test_CL=0.028209906071424484
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=1528.4892698278763, max_test_CL_un_norm=1938.4296948389037
train epoch=1, loader_type='Both', approx_losses.avg=0.01975675883681203, constraint_losses.avg=0.026377066871523858
------------------------- test Main, avg_test_AL=0.009772039623737025, avg_test_CL=0.009772211457331044, max_test_CL=0.09297642111778259
------------------------- test un normalized Main, avg_test_AL_un_norm=474.0780926803906, avg_test_CL_un_norm=474.0879258476824, max_test_CL_un_norm=2638.4273133233114
------------------------- test Omega, avg_test_AL=0, avg_test_CL=0.006863210414846738, max_test_CL=0.008831370621919632
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=776.9699478989929, max_test_CL_un_norm=1005.3877362456416
train epoch=2, loader_type='Both', approx_losses.avg=0.009556522098680338, constraint_losses.avg=0.009119416394084692
------------------------- test Main, avg_test_AL=0.005951645113256139, avg_test_CL=0.005951701096685914, max_test_CL=0.02713116817176342
------------------------- test un normalized Main, avg_test_AL_un_norm=626.6787803918834, avg_test_CL_un_norm=626.6631737362719, max_test_CL_un_norm=3203.6889624600685
------------------------- test Omega, avg_test_AL=0, avg_test_CL=0.0048752997651075325, max_test_CL=0.008772993460297585
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=487.956806320037, max_test_CL_un_norm=941.3372367940733
