WARNING (theano.tensor.blas): Using NumPy C-API based implementation for BLAS functions.
pybullet build time: Oct 11 2021 20:59:39
num of nodes = 800 and num of edges = 903
num of nodes = 800 and num of edges = 903
num of nodes = 800 and num of edges = 903
num of nodes = 800 and num of edges = 903
train epoch=0, loader_type='Both', approx_losses.avg=0.12712188764065505, constraint_losses.avg=0.16823520792846877
------------------------- test Main, avg_test_AL=0.02204505695813027, avg_test_CL=0.022043735161484317, max_test_CL=0.04643039032816887
------------------------- test un normalized Main, avg_test_AL_un_norm=0.02204505695813027, avg_test_CL_un_norm=0.022043735161484317, max_test_CL_un_norm=0.04643039032816887
------------------------- test Omega, avg_test_AL=0, avg_test_CL=1.224958999189128e-08, max_test_CL=1.4085422606058273e-08
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=1.224958999189128e-08, max_test_CL_un_norm=1.4085422606058273e-08
train epoch=1, loader_type='Both', approx_losses.avg=0.13263017742310962, constraint_losses.avg=0.1762574329007417
------------------------- test Main, avg_test_AL=0.022045833182992018, avg_test_CL=0.022044475377153868, max_test_CL=0.04643341153860092
------------------------- test un normalized Main, avg_test_AL_un_norm=0.022045833182992018, avg_test_CL_un_norm=0.022044475377153868, max_test_CL_un_norm=0.04643341153860092
------------------------- test Omega, avg_test_AL=0, avg_test_CL=3.107239717977891e-08, max_test_CL=3.5611979143368444e-08
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=3.107239717977891e-08, max_test_CL_un_norm=3.5611979143368444e-08
train epoch=2, loader_type='Both', approx_losses.avg=0.18410107674971224, constraint_losses.avg=0.23361481883053978
------------------------- test Main, avg_test_AL=0.022046104600300348, avg_test_CL=0.022044746300399, max_test_CL=0.046433668583631516
------------------------- test un normalized Main, avg_test_AL_un_norm=0.022046104600300348, avg_test_CL_un_norm=0.022044746300399, max_test_CL_un_norm=0.046433668583631516
------------------------- test Omega, avg_test_AL=0, avg_test_CL=4.5120783546785494e-08, max_test_CL=5.1809308843075996e-08
