WARNING (theano.tensor.blas): Using NumPy C-API based implementation for BLAS functions.
pybullet build time: Oct 11 2021 20:59:39
train epoch=0, loader_type='Both', approx_losses.avg=0.05476330533679575, constraint_losses.avg=0.05003169644077619
------------------------- test Main, avg_test_AL=0.011813222346626953, avg_test_CL=0.011824074561544065, max_test_CL=0.025512438267469406
------------------------- test un normalized Main, avg_test_AL_un_norm=0.011813222346626953, avg_test_CL_un_norm=0.011824074561544065, max_test_CL_un_norm=0.025512438267469406
------------------------- test Omega, avg_test_AL=0, avg_test_CL=0.024818252446269756, max_test_CL=0.032042667269706726
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=0.024818252446269756, max_test_CL_un_norm=0.032042667269706726
train epoch=1, loader_type='Both', approx_losses.avg=0.005542255031938354, constraint_losses.avg=0.00517722118832171
------------------------- test Main, avg_test_AL=0.004943755481942641, avg_test_CL=0.004934701343447817, max_test_CL=0.007321282755583525
------------------------- test un normalized Main, avg_test_AL_un_norm=0.004943755481942641, avg_test_CL_un_norm=0.004934701343447817, max_test_CL_un_norm=0.007321282755583525
------------------------- test Omega, avg_test_AL=0, avg_test_CL=0.01167308358918154, max_test_CL=0.01577414758503437
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=0.01167308358918154, max_test_CL_un_norm=0.01577414758503437
train epoch=2, loader_type='Both', approx_losses.avg=0.006557863659256449, constraint_losses.avg=0.006500321131603172
------------------------- test Main, avg_test_AL=0.004535515258689779, avg_test_CL=0.004546547399444465, max_test_CL=0.012295253574848175
------------------------- test un normalized Main, avg_test_AL_un_norm=0.004535515258689779, avg_test_CL_un_norm=0.004546547399444465, max_test_CL_un_norm=0.012295253574848175
------------------------- test Omega, avg_test_AL=0, avg_test_CL=0.00781408777494017, max_test_CL=0.01055233459919691
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=0.00781408777494017, max_test_CL_un_norm=0.01055233459919691
train epoch=3, loader_type='Both', approx_losses.avg=0.010352894786869486, constraint_losses.avg=0.011842173939881226
------------------------- test Main, avg_test_AL=0.017283858139057633, avg_test_CL=0.01728963885915226, max_test_CL=0.05220241844654083
------------------------- test un normalized Main, avg_test_AL_un_norm=0.017283858139057633, avg_test_CL_un_norm=0.01728963885915226, max_test_CL_un_norm=0.05220241844654083
------------------------- test Omega, avg_test_AL=0, avg_test_CL=0.011192327488919494, max_test_CL=0.015057748183608055
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=0.011192327488919494, max_test_CL_un_norm=0.015057748183608055
train epoch=4, loader_type='Both', approx_losses.avg=0.014218390899213652, constraint_losses.avg=0.012240274411439895
------------------------- test Main, avg_test_AL=0.013641612356921585, avg_test_CL=0.013641100185848697, max_test_CL=0.04159652069211006
------------------------- test un normalized Main, avg_test_AL_un_norm=0.013641612356921585, avg_test_CL_un_norm=0.013641100185848697, max_test_CL_un_norm=0.04159652069211006
------------------------- test Omega, avg_test_AL=0, avg_test_CL=0.006205156835418817, max_test_CL=0.006482621189206839
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=0.006205156835418817, max_test_CL_un_norm=0.006482621189206839
train epoch=5, loader_type='Both', approx_losses.avg=0.01825288112151126, constraint_losses.avg=0.01697323063860337
------------------------- test Main, avg_test_AL=0.038447262853518266, avg_test_CL=0.038447400165332095, max_test_CL=0.055016543716192245
------------------------- test un normalized Main, avg_test_AL_un_norm=0.038447262853518266, avg_test_CL_un_norm=0.038447400165332095, max_test_CL_un_norm=0.055016543716192245
------------------------- test Omega, avg_test_AL=0, avg_test_CL=0.011013251589471335, max_test_CL=0.015105657279491425
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=0.011013251589471335, max_test_CL_un_norm=0.015105657279491425
train epoch=6, loader_type='Both', approx_losses.avg=0.026816231986880303, constraint_losses.avg=0.021068940292795497
------------------------- test Main, avg_test_AL=0.04107790938797626, avg_test_CL=0.04107778222562076, max_test_CL=0.05817205831408501
------------------------- test un normalized Main, avg_test_AL_un_norm=0.04107790938797626, avg_test_CL_un_norm=0.04107778222562076, max_test_CL_un_norm=0.05817205831408501
------------------------- test Omega, avg_test_AL=0, avg_test_CL=0.006369690996889786, max_test_CL=0.008535733446478844
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=0.006369690996889786, max_test_CL_un_norm=0.008535733446478844
train epoch=7, loader_type='Both', approx_losses.avg=0.017898928286631904, constraint_losses.avg=0.014804703489194314
------------------------- test Main, avg_test_AL=0.07726989734220553, avg_test_CL=0.07727053755236131, max_test_CL=0.17313747107982635
------------------------- test un normalized Main, avg_test_AL_un_norm=0.07726989734220553, avg_test_CL_un_norm=0.07727053755236131, max_test_CL_un_norm=0.17313747107982635
------------------------- test Omega, avg_test_AL=0, avg_test_CL=0.031645490801207966, max_test_CL=0.04323653504252434
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=0.031645490801207966, max_test_CL_un_norm=0.04323653504252434
train epoch=8, loader_type='Both', approx_losses.avg=0.017576742291947205, constraint_losses.avg=0.01468833480924368
------------------------- test Main, avg_test_AL=0.02784557093831676, avg_test_CL=0.027844823068110376, max_test_CL=0.04039723798632622
------------------------- test un normalized Main, avg_test_AL_un_norm=0.02784557093831676, avg_test_CL_un_norm=0.027844823068110376, max_test_CL_un_norm=0.04039723798632622
------------------------- test Omega, avg_test_AL=0, avg_test_CL=0.009288799470394023, max_test_CL=0.012559469789266586
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=0.009288799470394023, max_test_CL_un_norm=0.012559469789266586
train epoch=9, loader_type='Both', approx_losses.avg=0.014610744439810515, constraint_losses.avg=0.01154857778896888
------------------------- test Main, avg_test_AL=0.02320836611638392, avg_test_CL=0.02320960993287494, max_test_CL=0.03274040296673775
------------------------- test un normalized Main, avg_test_AL_un_norm=0.02320836611638392, avg_test_CL_un_norm=0.02320960993287494, max_test_CL_un_norm=0.03274040296673775
------------------------- test Omega, avg_test_AL=0, avg_test_CL=0.006441133348464694, max_test_CL=0.008388916030526161
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=0.006441133348464694, max_test_CL_un_norm=0.008388916030526161
train epoch=10, loader_type='Both', approx_losses.avg=0.014294989241162936, constraint_losses.avg=0.011327083185315133
------------------------- test Main, avg_test_AL=0.022200769037232025, avg_test_CL=0.02219993156731479, max_test_CL=0.03362653777003288
------------------------- test un normalized Main, avg_test_AL_un_norm=0.022200769037232025, avg_test_CL_un_norm=0.02219993156731479, max_test_CL_un_norm=0.03362653777003288
------------------------- test Omega, avg_test_AL=0, avg_test_CL=0.012232153193221788, max_test_CL=0.016934603452682495
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=0.012232153193221788, max_test_CL_un_norm=0.016934603452682495
train epoch=11, loader_type='Both', approx_losses.avg=0.014997896871964136, constraint_losses.avg=0.012279863240818183
------------------------- test Main, avg_test_AL=0.02242750915986774, avg_test_CL=0.02242744103860897, max_test_CL=0.03500477969646454
------------------------- test un normalized Main, avg_test_AL_un_norm=0.02242750915986774, avg_test_CL_un_norm=0.02242744103860897, max_test_CL_un_norm=0.03500477969646454
------------------------- test Omega, avg_test_AL=0, avg_test_CL=0.020139268680323695, max_test_CL=0.025677679106593132
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=0.020139268680323695, max_test_CL_un_norm=0.025677679106593132
train epoch=12, loader_type='Both', approx_losses.avg=0.012984413163860639, constraint_losses.avg=0.010362908985465765
------------------------- test Main, avg_test_AL=0.02109076869436302, avg_test_CL=0.021090090579191992, max_test_CL=0.03191766142845154
------------------------- test un normalized Main, avg_test_AL_un_norm=0.02109076869436302, avg_test_CL_un_norm=0.021090090579191992, max_test_CL_un_norm=0.03191766142845154
------------------------- test Omega, avg_test_AL=0, avg_test_CL=0.016442560348475632, max_test_CL=0.022556593641638756
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=0.016442560348475632, max_test_CL_un_norm=0.022556593641638756
train epoch=13, loader_type='Both', approx_losses.avg=0.013062552355478207, constraint_losses.avg=0.009422551717609168
------------------------- test Main, avg_test_AL=0.022008760085630533, avg_test_CL=0.022007968441864756, max_test_CL=0.034027036279439926
------------------------- test un normalized Main, avg_test_AL_un_norm=0.022008760085630533, avg_test_CL_un_norm=0.022007968441864756, max_test_CL_un_norm=0.034027036279439926
------------------------- test Omega, avg_test_AL=0, avg_test_CL=0.013280462203306137, max_test_CL=0.0183815099298954
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=0.013280462203306137, max_test_CL_un_norm=0.0183815099298954
train epoch=14, loader_type='Both', approx_losses.avg=0.012701659972965717, constraint_losses.avg=0.011482752316693465
------------------------- test Main, avg_test_AL=0.022928544141173183, avg_test_CL=0.022928158805758745, max_test_CL=0.035308338701725006
------------------------- test un normalized Main, avg_test_AL_un_norm=0.022928544141173183, avg_test_CL_un_norm=0.022928158805758745, max_test_CL_un_norm=0.035308338701725006
------------------------- test Omega, avg_test_AL=0, avg_test_CL=0.019730416435533454, max_test_CL=0.02712870016694069
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=0.019730416435533454, max_test_CL_un_norm=0.02712870016694069
train epoch=15, loader_type='Both', approx_losses.avg=0.013989064928392568, constraint_losses.avg=0.011188966425756614
------------------------- test Main, avg_test_AL=0.018730264774908696, avg_test_CL=0.018729634868965537, max_test_CL=0.02910342440009117
------------------------- test un normalized Main, avg_test_AL_un_norm=0.018730264774908696, avg_test_CL_un_norm=0.018729634868965537, max_test_CL_un_norm=0.02910342440009117
------------------------- test Omega, avg_test_AL=0, avg_test_CL=0.019054989500257472, max_test_CL=0.025991525501012802
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=0.019054989500257472, max_test_CL_un_norm=0.025991525501012802
train epoch=16, loader_type='Both', approx_losses.avg=0.013090907497455676, constraint_losses.avg=0.010692831756174564
------------------------- test Main, avg_test_AL=0.016556304219566675, avg_test_CL=0.016565734980389237, max_test_CL=0.030783236026763916
------------------------- test un normalized Main, avg_test_AL_un_norm=0.016556304219566675, avg_test_CL_un_norm=0.016565734980389237, max_test_CL_un_norm=0.030783236026763916
------------------------- test Omega, avg_test_AL=0, avg_test_CL=0.024522818510539016, max_test_CL=0.032248277217149734
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=0.024522818510539016, max_test_CL_un_norm=0.032248277217149734
train epoch=17, loader_type='Both', approx_losses.avg=0.013494765362888574, constraint_losses.avg=0.011605374434838693
------------------------- test Main, avg_test_AL=0.02013384260167764, avg_test_CL=0.020132811546015244, max_test_CL=0.03082897514104843
------------------------- test un normalized Main, avg_test_AL_un_norm=0.02013384260167764, avg_test_CL_un_norm=0.020132811546015244, max_test_CL_un_norm=0.03082897514104843
------------------------- test Omega, avg_test_AL=0, avg_test_CL=0.02160852422806769, max_test_CL=0.029254106804728508
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=0.02160852422806769, max_test_CL_un_norm=0.029254106804728508
train epoch=18, loader_type='Both', approx_losses.avg=0.014035493824630976, constraint_losses.avg=0.01194264602114757
