WARNING (theano.tensor.blas): Using NumPy C-API based implementation for BLAS functions.
pybullet build time: Oct 11 2021 20:59:39
train epoch=0, loader_type='Both', approx_losses.avg=0.05776447810630004, constraint_losses.avg=0.1187828040967385
------------------------- test Main, avg_test_AL=0.027065446221822494, avg_test_CL=0.02707477864409397, max_test_CL=0.04514835774898529
------------------------- test un normalized Main, avg_test_AL_un_norm=0.027065446221822494, avg_test_CL_un_norm=0.02707477864409397, max_test_CL_un_norm=0.04514835774898529
------------------------- test Omega, avg_test_AL=0, avg_test_CL=0.43833141662814357, max_test_CL=0.49591487646102905
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=0.43833141662814357, max_test_CL_un_norm=0.49591487646102905
train epoch=1, loader_type='Both', approx_losses.avg=0.011768555098151168, constraint_losses.avg=0.0776332928498586
------------------------- test Main, avg_test_AL=0.007970022019737674, avg_test_CL=0.007966133214272763, max_test_CL=0.026799555867910385
------------------------- test un normalized Main, avg_test_AL_un_norm=0.007970022019737674, avg_test_CL_un_norm=0.007966133214272763, max_test_CL_un_norm=0.026799555867910385
------------------------- test Omega, avg_test_AL=0, avg_test_CL=0.42880055667819444, max_test_CL=0.48585087060928345
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=0.42880055667819444, max_test_CL_un_norm=0.48585087060928345
train epoch=2, loader_type='Both', approx_losses.avg=0.011076948613797625, constraint_losses.avg=0.0772849170188109
------------------------- test Main, avg_test_AL=0.022403305439088302, avg_test_CL=0.022404143714240647, max_test_CL=0.034648291766643524
------------------------- test un normalized Main, avg_test_AL_un_norm=0.022403305439088302, avg_test_CL_un_norm=0.022404143714240647, max_test_CL_un_norm=0.034648291766643524
------------------------- test Omega, avg_test_AL=0, avg_test_CL=0.43613398635948264, max_test_CL=0.4959437847137451
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=0.43613398635948264, max_test_CL_un_norm=0.4959437847137451
train epoch=3, loader_type='Both', approx_losses.avg=0.016509403281410536, constraint_losses.avg=0.08442934744755427
------------------------- test Main, avg_test_AL=0.04139838335164883, avg_test_CL=0.04140151923930098, max_test_CL=0.07967931777238846
------------------------- test un normalized Main, avg_test_AL_un_norm=0.04139838335164883, avg_test_CL_un_norm=0.04140151923930098, max_test_CL_un_norm=0.07967931777238846
------------------------- test Omega, avg_test_AL=0, avg_test_CL=0.5140929123660823, max_test_CL=0.5893329381942749
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=0.5140929123660823, max_test_CL_un_norm=0.5893329381942749
train epoch=4, loader_type='Both', approx_losses.avg=0.01875712771465381, constraint_losses.avg=0.0913684061964353
------------------------- test Main, avg_test_AL=0.04561462483657347, avg_test_CL=0.045614074180681106, max_test_CL=0.09428691118955612
------------------------- test un normalized Main, avg_test_AL_un_norm=0.04561462483657347, avg_test_CL_un_norm=0.045614074180681106, max_test_CL_un_norm=0.09428691118955612
------------------------- test Omega, avg_test_AL=0, avg_test_CL=0.5256653186586406, max_test_CL=0.5924150943756104
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=0.5256653186586406, max_test_CL_un_norm=0.5924150943756104
train epoch=5, loader_type='Both', approx_losses.avg=0.022251028118779263, constraint_losses.avg=0.09456227994362514
------------------------- test Main, avg_test_AL=0.026856020326494007, avg_test_CL=0.026859822612418024, max_test_CL=0.06920081377029419
------------------------- test un normalized Main, avg_test_AL_un_norm=0.026856020326494007, avg_test_CL_un_norm=0.026859822612418024, max_test_CL_un_norm=0.06920081377029419
------------------------- test Omega, avg_test_AL=0, avg_test_CL=0.48361497411916443, max_test_CL=0.5474103093147278
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=0.48361497411916443, max_test_CL_un_norm=0.5474103093147278
train epoch=6, loader_type='Both', approx_losses.avg=0.028213666380445163, constraint_losses.avg=0.0953228762626648
------------------------- test Main, avg_test_AL=0.0430202109466966, avg_test_CL=0.04302144606781376, max_test_CL=0.06116840988397598
------------------------- test un normalized Main, avg_test_AL_un_norm=0.0430202109466966, avg_test_CL_un_norm=0.04302144606781376, max_test_CL_un_norm=0.06116840988397598
------------------------- test Omega, avg_test_AL=0, avg_test_CL=0.4601387560099095, max_test_CL=0.5215917229652405
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=0.4601387560099095, max_test_CL_un_norm=0.5215917229652405
train epoch=7, loader_type='Both', approx_losses.avg=0.02819821240901947, constraint_losses.avg=0.0959873598019282
------------------------- test Main, avg_test_AL=0.04638433973262976, avg_test_CL=0.04638557543267717, max_test_CL=0.06515438854694366
